집계일자,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20210501,8603193,130383,179809,113388,157900,352460,9537133
20210502,8350866,69739,129694,63496,68387,331483,9013665
20210503,8124783,305516,357087,306601,493839,426675,10014501
20210504,8114115,304853,366569,325444,508603,423875,10043459
20210505,7995664,167120,207255,160030,262744,328631,9121444
20210506,8226248,310782,363696,315931,508871,423086,10148614
20210507,9102541,310733,373285,335388,516480,454711,11093138
20210508,9761315,154400,199583,150527,281979,403747,10951551
20210509,8851635,70776,128345,61900,77459,350746,9540861
20210510,7638651,283114,350009,298847,474026,412488,9457135
20210511,7661797,316850,372480,344207,518558,414878,9628770
20210512,7684742,308537,365587,334207,525739,414160,9632972
20210513,7904895,314557,372430,342653,533124,419642,9887301
20210514,8917971,317648,379188,334978,526649,455890,10932324
20210515,8064165,143713,198975,137151,254483,346579,9145066
20210516,6263774,60537,124967,59102,60470,260639,6829489
20210517,7535264,273226,335700,285151,449652,404421,9283414
20210518,8521461,321864,374600,337867,511891,445820,10513503
20210519,8282090,180089,220958,173442,295042,356008,9507629
20210520,7689926,294544,355507,305466,488034,410483,9543960
20210521,8517986,299005,365254,323211,492983,439834,10438273
20210522,9061933,158167,208440,151725,286391,383476,10250132
20210523,8137110,71765,131198,65291,81000,329846,8816210
20210524,7920220,302368,358991,316397,505026,425398,9828400
20210525,7592327,311007,370776,343986,528654,409971,9556721
20210526,7797608,317072,369970,345056,541135,417774,9788615
20210527,7553319,293459,357332,323979,508270,404843,9441202
20210528,8371873,286788,355519,308215,480799,433393,10236587
20210529,8993202,159922,211302,156898,279498,382203,10183025
20210530,8190964,76539,136893,69326,83879,332697,8890298
20210531,7263254,278895,329552,285756,443019,394121,8994597
