date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto
20200215,5767272,114702,180796,103146,168677,271210,6605803,19,638,0,-2,2,277,0,0,-0.095238095,0.038249102,0.004069176,0.003723899,0,0.321428571
20200216,4354194,48512,125637,47610,41243,197532,4814728,20,485,1,1,0,642,0,0.035714286,0.052631579,0.085383695,0.003778009,0.003553486,0,0.310344828
20200217,4792041,197707,258384,188472,269750,273127,5979481,20,708,1,0,1,557,0,0.034482759,0,0.06825144,0.003745318,0.003441156,0,0.333333333
20200218,5010841,218741,278560,215819,304233,290941,6319135,27,818,9,7,2,1062,0,0.3,0.35,0.12181693,0.004351707,0.00398773,0,0.307692308
20200219,5216463,219989,280261,216978,316849,300717,6551257,30,1149,7,3,4,1388,0,0.179487179,0.111111111,0.14192229,0.004591277,0.004118911,0,0.347826087
20200220,5272477,221788,281028,218003,320981,300071,6614348,87,1860,58,57,0,2034,1,1.260869565,1.9,0.182127507,0.009169459,0.007877594,7.57E-05,0.153846154
20200221,5539009,219375,280602,212161,314805,312202,6878154,186,3180,100,99,1,3198,0,0.961538462,1.137931034,0.242236025,0.015431165,0.012439024,6.10E-05,0.083333333
20200222,4725033,110977,172983,105100,170565,227688,5512346,412,6037,229,226,1,5186,2,1.12254902,1.215053763,0.316219512,0.02784745,0.020059298,0.000138979,0.041570439
20200223,3832721,52716,114596,44721,51561,177796,4274111,584,6039,175,172,0,1099,3,0.404157044,0.417475728,0.050912629,0.036525291,0.026801851,0.000264492,0.029605263
20200224,4857148,214259,271403,208810,310803,282442,6144865,814,11631,235,230,4,10081,1,0.386513158,0.393835616,0.444390566,0.039886444,0.025727889,0.000213636,0.026097272
20200225,4127021,194302,256453,201075,259083,249451,5287385,945,13273,134,131,0,4034,3,0.158956109,0.160933661,0.123115425,0.041526756,0.026548913,0.000271739,0.022517912
20200226,4602604,224838,273776,229581,303901,269746,5904446,1225,20716,284,280,2,16753,2,0.290685773,0.296296296,0.455244565,0.038401803,0.023546767,0.000224077,0.019032514
20200227,4626154,226024,276948,231620,328638,268461,5957845,1727,25568,505,502,2,13099,1,0.400475813,0.409795918,0.244598809,0.042985104,0.026495829,0.000195043,0.014722537
20200228,4711916,207441,264507,210397,296188,273100,5963549,2297,30237,571,570,1,14515,0,0.323329558,0.330052113,0.21777291,0.045886511,0.02879249,0.000160164,0.011553273
20200229,4152963,114097,160557,111248,169046,202050,4909961,3105,35182,813,808,1,12888,4,0.3478819,0.351763169,0.158783742,0.053505002,0.033491042,0.000180745,0.008888889
20200301,3416780,51883,104248,46015,48726,159145,3826797,3688,33360,586,583,2,4866,1,0.186031746,0.187761675,0.051735687,0.056985098,0.037767511,0.000181963,0.008029979
20200302,4613964,213722,256066,204004,302573,271524,5861853,4159,33799,476,471,1,10670,4,0.127408994,0.127711497,0.107863851,0.055573148,0.038433813,0.000200746,0.007359924
20200303,4511985,224797,270192,234896,333938,266472,5842280,4750,35555,600,591,3,16260,6,0.142450142,0.142101467,0.148369848,0.053291397,0.038235691,0.000222485,0.007065669
20200304,4519835,219043,265232,225245,329044,266799,5825198,5255,28414,516,505,7,10856,4,0.10723192,0.106315789,0.086260737,0.049199856,0.038973864,0.000234077,0.007695195
20200305,4607961,219196,265390,225521,333883,268442,5920393,5643,21810,438,388,47,9834,3,0.082207207,0.073834443,0.071934868,0.046227482,0.03934735,0.000238841,0.01526188
20200306,5149788,219001,266990,222665,332197,291238,6481879,6132,21832,518,489,20,18199,9,0.089836975,0.086656034,0.1241905,0.043972346,0.038144956,0.000267088,0.017186505
20200307,4420312,111113,151538,103382,174262,213753,5174360,6605,19620,483,473,10,13449,0,0.076861871,0.077136334,0.081637732,0.042675428,0.037976531,0.000246929,0.017437565
20200308,4123087,48545,91661,43621,45947,185056,4537917,6954,19376,367,349,12,10329,6,0.054233782,0.052838759,0.057966541,0.042177579,0.03784254,0.000265227,0.018222596
20200309,4867836,210258,253232,209380,317343,282371,6140420,7165,17458,248,211,36,8100,1,0.034763106,0.030342249,0.042966719,0.041203394,0.037544884,0.000259386,0.022487131
20200310,4306253,196500,244512,204652,285049,258564,5495530,7212,18452,131,47,81,13526,3,0.017745868,0.006559665,0.068793295,0.039193081,0.035751675,0.000256967,0.032876348
20200311,4844387,221802,259311,226009,327113,279899,6158521,7407,18540,242,195,41,12251,6,0.032210835,0.02703827,0.058298119,0.038041745,0.034870388,0.00026979,0.037137331
20200312,4921003,221492,261842,229857,343742,281676,6259612,7470,17727,114,63,45,12603,6,0.014700193,0.008505468,0.05666944,0.036217443,0.033485391,0.000280853,0.042317957
20200313,5352543,220550,261187,223611,340342,301922,6700155,7402,17940,110,-68,177,13649,1,0.013978905,-0.009103079,0.058081345,0.034584993,0.032089669,0.000269458,0.063917784
20200314,5033531,116280,149709,116315,200795,237381,5854011,7300,17634,107,-102,204,12688,5,0.013410202,-0.013780059,0.051028164,0.033180003,0.030941129,0.000275508,0.088300767
20200315,4202023,50237,91977,45686,50050,189776,4629749,7253,16272,76,-47,120,6877,3,0.009398961,-0.006438356,0.026314883,0.032396602,0.030431151,0.00027963,0.102180838
20200316,4975193,211743,247850,208862,325860,286602,6256110,7024,14971,74,-229,303,6292,0,0.009066405,-0.031573142,0.023459055,0.031733922,0.030003206,0.00027322,0.138052453
20200317,4836230,223554,258760,236003,353541,280187,6188275,6838,17291,84,-186,264,12212,6,0.010199126,-0.026480638,0.044487512,0.030880579,0.029018262,0.00028251,0.168389423
20200318,5009780,222081,255570,233304,351787,286811,6359333,6789,16346,93,-49,139,8931,3,0.011177885,-0.007165838,0.031149291,0.030121625,0.028456233,0.000284123,0.183050042
20200319,4751334,216109,250655,225246,344449,268791,6056584,6527,15904,152,-262,407,11377,7,0.018067277,-0.03859184,0.038481703,0.029420857,0.027896842,0.000296394,0.22732049
20200320,5548677,222960,256123,227709,341553,307173,6904195,6325,15525,87,-202,286,9640,3,0.010157618,-0.030948368,0.031398197,0.028730918,0.027322335,0.000296845,0.258090615
20200321,5337575,116678,144360,110417,193713,250026,6152769,6085,15704,147,-240,379,10845,8,0.016990291,-0.037944664,0.034247657,0.02821956,0.026866437,0.000311442,0.296851915
20200322,4713674,49543,83936,44361,49751,208163,5149428,5884,14540,98,-201,297,4271,2,0.011137629,-0.033032046,0.013040863,0.028045013,0.026815962,0.000313461,0.326964145
20200323,5131832,215554,247256,214701,334193,293144,6436680,5684,13628,64,-200,257,6256,7,0.007193436,-0.033990483,0.018855868,0.027622623,0.026509011,0.000328367,0.353308783
20200324,5022430,228493,260767,241773,357116,287408,6397987,5410,15440,76,-274,341,10546,9,0.008481196,-0.048205489,0.031197861,0.027126571,0.025925033,0.000344252,0.388071263
20200325,5110183,227188,256998,239128,355226,291049,6479772,5281,14278,100,-129,223,9314,6,0.011065619,-0.023844732,0.026719681,0.026590574,0.025529763,0.000352058,0.408230273
20200326,4879693,212677,247004,214177,323643,279768,6156962,4966,14369,104,-315,414,7046,5,0.011382292,-0.059647794,0.019687283,0.026359703,0.025321832,0.000358961,0.448436316
20200327,5329886,203979,240039,202121,281838,300262,6558125,4665,15219,91,-301,384,12019,8,0.009847419,-0.060612163,0.032934,0.025797392,0.024755877,0.000368738,0.485212173
20200328,6300657,116627,543375,112048,674798,310811,8058316,4523,16564,146,-142,283,10964,5,0.015645092,-0.030439443,0.029085237,0.025522335,0.024432558,0.000371206,0.507596539
20200329,4692642,55300,87379,45919,48990,207106,5137336,4398,15028,105,-125,222,6216,8,0.011078287,-0.027636524,0.016023716,0.025277424,0.024313634,0.000385649,0.525200877
20200330,5246751,217678,246500,213153,324451,297846,6546379,4275,13531,78,-123,195,1053,6,0.008139414,-0.027967258,0.002671633,0.025312907,0.024446221,0.000399804,0.541144809
20200331,5052415,225129,255822,236652,343268,290105,6403391,4216,16892,125,-59,180,15370,4,0.012938619,-0.01380117,0.038892291,0.024858258,0.023835504,0.000394579,0.552626201
20200401,5022688,228829,255426,231842,336785,285889,6361459,4155,16585,101,-61,159,10983,3,0.010320867,-0.014468691,0.026751006,0.024414636,0.023454087,0.000391415,0.563062607
20200402,5157354,228882,256917,229366,343543,289785,6505847,3979,17885,89,-176,261,10196,4,0.009001719,-0.042358604,0.024187101,0.024104886,0.023106339,0.000391437,0.584202085
20200403,5750115,226896,256253,227080,338925,314379,7113648,3867,18908,86,-112,193,11530,5,0.00862069,-0.028147776,0.026705702,0.023710721,0.02269933,0.000392535,0.598389982
20200404,5613265,116903,142336,109054,188071,255844,6425473,3654,20144,94,-213,304,11759,3,0.009342079,-0.055081458,0.02652767,0.023353139,0.022319309,0.000388984,0.622784561
20200405,5048606,51604,86032,45737,49075,217540,5498594,3591,19571,81,-63,138,6201,6,0.007975581,-0.017241379,0.013627613,0.023178358,0.022194856,0.000396763,0.631337306
