date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200318,5009780,222081,255570,233304,351787,286811,6359333,0,6789,16346,93,-49,139,8931,3,0.011177885,0.007165838,0.031149291,0.030121625,0.028456233,0.000284123,0.183050042,0
20200319,4751334,216109,250655,225246,344449,268791,6056584,0,6527,15904,152,-262,407,11377,7,0.018067277,0.03859184,0.038481703,0.029420857,0.027896842,0.000296394,0.22732049,0
20200320,5548677,222960,256123,227709,341553,307173,6904195,0,6325,15525,87,-202,286,9640,3,0.010157618,0.030948368,0.031398197,0.028730918,0.027322335,0.000296845,0.258090615,0
20200321,5337575,116678,144360,110417,193713,250026,6152769,0,6085,15704,147,-240,379,10845,8,0.016990291,0.037944664,0.034247657,0.02821956,0.026866437,0.000311442,0.296851915,0
20200322,4713674,49543,83936,44361,49751,208163,5149428,0,5884,14540,98,-201,297,4271,2,0.011137629,0.033032046,0.013040863,0.028045013,0.026815962,0.000313461,0.326964145,0
20200323,5131832,215554,247256,214701,334193,293144,6436680,0,5684,13628,64,-200,257,6256,7,0.007193436,0.033990483,0.018855868,0.027622623,0.026509011,0.000328367,0.353308783,0
20200324,5022430,228493,260767,241773,357116,287408,6397987,0,5410,15440,76,-274,341,10546,9,0.008481196,0.048205489,0.031197861,0.027126571,0.025925033,0.000344252,0.388071263,0
20200325,5110183,227188,256998,239128,355226,291049,6479772,0,5281,14278,100,-129,223,9314,6,0.011065619,0.023844732,0.026719681,0.026590574,0.025529763,0.000352058,0.408230273,0
20200326,4879693,212677,247004,214177,323643,279768,6156962,0,4966,14369,104,-315,414,7046,5,0.011382292,0.059647794,0.019687283,0.026359703,0.025321832,0.000358961,0.448436316,0
20200327,5329886,203979,240039,202121,281838,300262,6558125,0,4665,15219,91,-301,384,12019,8,0.009847419,0.060612163,0.032934,0.025797392,0.024755877,0.000368738,0.485212173,0
20200328,6300657,116627,543375,112048,674798,310811,8058316,0,4523,16564,146,-142,283,10964,5,0.015645092,0.030439443,0.029085237,0.025522335,0.024432558,0.000371206,0.507596539,0
20200329,4692642,55300,87379,45919,48990,207106,5137336,0,4398,15028,105,-125,222,6216,8,0.011078287,0.027636524,0.016023716,0.025277424,0.024313634,0.000385649,0.525200877,0
20200330,5246751,217678,246500,213153,324451,297846,6546379,0,4275,13531,78,-123,195,1053,6,0.008139414,0.027967258,0.002671633,0.025312907,0.024446221,0.000399804,0.541144809,0
20200331,5052415,225129,255822,236652,343268,290105,6403391,0,4216,16892,125,-59,180,15370,4,0.012938619,0.01380117,0.038892291,0.024858258,0.023835504,0.000394579,0.552626201,0
